Geo Point,Geo Shape,GEOID,LANDAREA,WATERAREA,Latitude,Longitude,Total Population,White Only Population,Non White Only Percentage,AREA_SQMI,Total Population Estimate,Total Population Margin of Error,Housing Unit Estimate,Housing Unit Margin of Error,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
"33.88223298705251, -118.145643767475","{""coordinates"": [[[-118.151294, 33.879806999126416], [-118.146958, 33.88017999912643], [-118.146976, 33.88561599912634], [-118.146975, 33.88744799912635], [-118.146971, 33.889179999126334], [-118.146971, 33.88930999912634], [-118.142741, 33.88933399912635], [-118.142659, 33.889198999126336], [-118.142645, 33.887457999126326], [-118.142642, 33.886990999126375], [-118.142636, 33.88621199912636], [-118.142629, 33.885658999126335], [-118.142634, 33.88291799912642], [-118.142614, 33.88020899912642], [-118.142602, 33.87839199912648], [-118.142596, 33.877028999126466], [-118.151288, 33.87693899912648], [-118.151294, 33.879806999126416]]], ""type"": ""Polygon""}",6037554301,675594,0,33.8822626,-118.1456094,3499,593,83.05227692,0.260848195,3412,518,1077,122,0.5417,0.4497,0.7594,0.7149,0.6195
"33.85615987299268, -118.17292393391853","{""coordinates"": [[[-118.177289, 33.86191299912668], [-118.17536, 33.861923999126645], [-118.168601, 33.86194799912665], [-118.168588, 33.86012799912666], [-118.16843, 33.85592099912671], [-118.167745, 33.85444399912675], [-118.167704, 33.85425799912677], [-118.167641, 33.852640999126784], [-118.167642, 33.8517839991268], [-118.169436, 33.85177399912677], [-118.177076, 33.849163999126795], [-118.177221, 33.85081399912681], [-118.177205, 33.85174399912679], [-118.177232, 33.85436899912678], [-118.177269, 33.85813499912671], [-118.177284, 33.860099999126675], [-118.177289, 33.86191299912668]]], ""type"": ""Polygon""}",6037570602,1042596,0,33.856156,-118.1729328,6557,891,86.41145548,0.402548401,5692,603,1730,124,0.7387,0.7469,0.8567,0.4379,0.7093
"33.85688716230184, -118.1809738827023","{""coordinates"": [[[-118.18498, 33.86188399912664], [-118.177289, 33.86191299912668], [-118.177284, 33.860099999126675], [-118.177269, 33.85813499912671], [-118.177232, 33.85436899912678], [-118.177205, 33.85174399912679], [-118.177221, 33.85081399912681], [-118.18337, 33.85269099912677], [-118.184918, 33.852432999126805], [-118.184931, 33.85433199912676], [-118.184964, 33.8580979991267], [-118.18498, 33.86188399912664]]], ""type"": ""Polygon""}",6037570601,780449,0,33.8569402,-118.1809849,5235,666,87.27792029,0.30133292,5925,1073,1646,148,0.8257,0.6777,0.8815,0.8358,0.8599
"33.85993766107599, -118.19186723936483","{""coordinates"": [[[-118.19847, 33.85998999912667], [-118.196075, 33.86381999912661], [-118.194465, 33.86304199912666], [-118.191733, 33.861805999126666], [-118.189867, 33.861697999126655], [-118.18498, 33.86188399912664], [-118.184964, 33.8580979991267], [-118.185961, 33.857590999126735], [-118.189835, 33.85757599912672], [-118.197738, 33.857532999126704], [-118.19847, 33.85998999912667]]], ""type"": ""Polygon""}",6037570303,600473,15536,33.8596484,-118.1925812,3925,493,87.43946817,0.231843826,4552,917,1318,201,0.7082,0.4545,0.897,0.6545,0.6986
"33.872020832135114, -118.18907107798755","{""coordinates"": [[[-118.196075, 33.86381999912661], [-118.191232, 33.87149799912652], [-118.190782, 33.87244799912656], [-118.189296, 33.87665399912646], [-118.189147, 33.87711099912649], [-118.188343, 33.881452999126445], [-118.187855, 33.88145699912643], [-118.187575, 33.88265899912639], [-118.186666, 33.88147399912639], [-118.186069, 33.87986599912644], [-118.186145, 33.874382999126524], [-118.18602, 33.87274699912653], [-118.185256, 33.86731799912661], [-118.186807, 33.86743999912658], [-118.190235, 33.867303999126584], [-118.191809, 33.86746499912658], [-118.193174, 33.86519099912661], [-118.194465, 33.86304199912666], [-118.196075, 33.86381999912661]]], ""type"": ""Polygon""}",6037570305,693548,44355,33.8721417,-118.1887479,5291,687,87.01567057,0.26778027,4060,846,1392,160,0.8145,0.5421,0.8588,0.957,0.8826
"33.80801475168484, -118.2139281094576","{""coordinates"": [[[-118.222442, 33.81187899912726], [-118.221443, 33.8116649991273], [-118.219777, 33.811646999127284], [-118.215446, 33.811642999127294], [-118.211094, 33.81164499912729], [-118.205492, 33.81167399912727], [-118.205324, 33.80438799912739], [-118.210005, 33.804381999127365], [-118.211097, 33.80438399912735], [-118.213269, 33.80437899912736], [-118.215442, 33.80438099912735], [-118.218167, 33.80437699912737], [-118.219779, 33.80437199912738], [-118.221452, 33.804381999127365], [-118.222436, 33.804447999127355], [-118.222439, 33.80823599912736], [-118.222442, 33.81187899912726]]], ""type"": ""Polygon""}",6037572600,1223342,49301,33.8071157,-118.2140846,5276,511,90.31461518,0.472334793,5058,643,1249,119,0.7354,0.4168,0.9318,0.6203,0.6988
"33.818416275230504, -118.20982093165536","{""coordinates"": [[[-118.21564, 33.82535099912714], [-118.211304, 33.82630799912708], [-118.20979, 33.82647599912713], [-118.207368, 33.82642899912713], [-118.205823, 33.82618299912713], [-118.205338, 33.82606699912712], [-118.205453, 33.8190919991272], [-118.205402, 33.8189169991272], [-118.205294, 33.81350999912728], [-118.205492, 33.81167399912727], [-118.211094, 33.81164499912729], [-118.215446, 33.811642999127294], [-118.215449, 33.81569199912726], [-118.215453, 33.8189169991272], [-118.211091, 33.818905999127175], [-118.2111, 33.82379899912714], [-118.213079, 33.82429599912713], [-118.215429, 33.82434499912712], [-118.21564, 33.82535099912714]]], ""type"": ""Polygon""}",6037577700,1170084,88150,33.8179964,-118.2094625,4672,432,90.75340523,0.451771773,4516,563,1244,195,0.5718,0.6729,0.9511,0.275,0.5716
"33.823285640468335, -118.19586213306177","{""coordinates"": [[[-118.205453, 33.8190919991272], [-118.205338, 33.82606699912712], [-118.204918, 33.82950799912704], [-118.204637, 33.831784999127], [-118.203801, 33.83187899912705], [-118.203106, 33.83058299912704], [-118.200637, 33.826625999127074], [-118.200332, 33.82671699912707], [-118.193174, 33.82671499912708], [-118.189356, 33.82670999912709], [-118.18501, 33.8267049991271], [-118.185014, 33.824211999127115], [-118.185018, 33.82214799912714], [-118.185015, 33.81890999912723], [-118.195445, 33.818973999127174], [-118.204233, 33.818898999127185], [-118.205402, 33.8189169991272], [-118.205453, 33.8190919991272]]], ""type"": ""Polygon""}",6037577900,1722203,49093,33.8227747,-118.1957507,5481,1741,68.23571096,0.664946023,5754,508,2588,290,0.48,0.6767,0.5025,0.8054,0.6393
"33.83369470747309, -118.19735107663922","{""coordinates"": [[[-118.208779, 33.831749999127034], [-118.207542, 33.83866499912694], [-118.201985, 33.84048399912693], [-118.192736, 33.84376199912686], [-118.191641, 33.8407669991269], [-118.189351, 33.83453199912698], [-118.187191, 33.83175299912703], [-118.185001, 33.831749999127034], [-118.18501, 33.8267049991271], [-118.189356, 33.82670999912709], [-118.193174, 33.82671499912708], [-118.200332, 33.82671699912707], [-118.200637, 33.826625999127074], [-118.203106, 33.83058299912704], [-118.203801, 33.83187899912705], [-118.204637, 33.831784999127], [-118.204918, 33.82950799912704], [-118.205338, 33.82606699912712], [-118.205823, 33.82618299912713], [-118.207368, 33.82642899912713], [-118.207782, 33.827853999127086], [-118.208274, 33.829585999127076], [-118.208779, 33.831749999127034]]], ""type"": ""Polygon""}",6037571800,2655771,184371,33.8334835,-118.1970981,3229,1766,45.3081309,1.025398495,3176,490,1332,121,0.2355,0.7704,0.3534,0.5772,0.4544
"33.8401109209205, -118.21599433491056","{""coordinates"": [[[-118.224634, 33.834742999127], [-118.223838, 33.83694399912699], [-118.222989, 33.83919199912691], [-118.220241, 33.84657199912684], [-118.206591, 33.84656699912686], [-118.206594, 33.84667699912686], [-118.205903, 33.84659199912684], [-118.207691, 33.839330999126965], [-118.207727, 33.839184999126935], [-118.211278, 33.83917999912695], [-118.212398, 33.836093999126994], [-118.213417, 33.83428599912703], [-118.216008, 33.83427799912699], [-118.216655, 33.832551999127055], [-118.218858, 33.83247699912701], [-118.225492, 33.83251099912704], [-118.224634, 33.834742999127]]], ""type"": ""Polygon""}",6037544001,1854206,18703,33.8406153,-118.2181146,4689,614,86.90550503,0.715912645,4399,590,1216,238,0.5843,0.8287,0.8624,0.3383,0.6298
