OID_,ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_CANCER,D5_CANCER,D2_RESP,D5_RESP,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_LIFEEXPPCT,P_PM25,P_OZONE,P_DSLPM,P_CANCER,P_RESP,P_RSEI_AIR,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,P_D2_PM25,P_D5_PM25,P_D2_OZONE,P_D5_OZONE,P_D2_DSLPM,P_D5_DSLPM,P_D2_CANCER,P_D5_CANCER,P_D2_RESP,P_D5_RESP,P_D2_RSEI_AIR,P_D5_RSEI_AIR,P_D2_PTRAF,P_D5_PTRAF,P_D2_LDPNT,P_D5_LDPNT,P_D2_PNPL,P_D5_PNPL,P_D2_PRMP,P_D5_PRMP,P_D2_PTSDF,P_D5_PTSDF,P_D2_UST,P_D5_UST,P_D2_PWDIS,P_D5_PWDIS,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,EXCEED_COUNT_80_SUP,Shape_Length,Shape_Area
5585,6037101110,California,CA,Los Angeles,9,3879,3806,3067,1494,1639,2067,0.319545251,0.142410589,1574,0.405774684,888,0.233315817,99,0.047895501,222,0.148594378,290,0.09455494,131,0.033771591,873,0.225058005,0.187692308,8.67554274,80.34199,0.152920912,30,0.3,412.0308813,67.46934876,993,0.60585723,0.10683752,0.244237481,0.795921765,0,0.000256204,15.65771728,6.978118839,28.43952731,12.67454238,7.988631275,3.560264725,13.42090054,5.981244738,5.432269267,2.420980013,18.53362454,8.259814136,5.751814512,2.563390594,26.84180106,11.96248944,19.17271504,8.544635313,17.25544354,7.690171782,3.834543008,1.708927063,0,0,8.308176517,3.702675302,28,52,24,46,37,80,43,19,85,63,49,89,25,42,17,58,18,84,60,54,12,0,26,44,55,64,76,24,32,52,64,30,41,48,63,17,23,62,73,49,63,44,57,13,16,0,0,24,33,1142401,0,0,0,0,0,0.047170387,0.000111817
5586,6037101122,California,CA,Los Angeles,9,4247,4216,3146,1372,1426,2300,0.217677876,0.124822287,1307,0.307746645,538,0.127609108,256,0.111304348,62,0.045189504,505,0.160521297,131,0.030845303,923,0.21732988,0.179487179,8.583353973,80.78891,0.142590174,30,0.3,406.7734564,8.211293718,543,0.380785414,0.097973489,0.222079329,0.69324492,0,0.000230815,10.44853807,5.991469793,19.59100888,11.23400586,4.788913272,2.746090314,9.142470792,5.242536054,3.700523892,2.121978879,12.62531683,7.239692666,0.653033629,0.374466862,13.93138409,7.98862639,12.18996108,6.990048091,11.1015717,6.365936655,2.394456641,1.373045161,0,0,5.441946911,3.120557184,11,44,14,20,87,41,60,16,83,54,48,90,22,42,17,58,3,64,56,51,11,0,25,30,50,50,72,16,26,45,60,22,38,34,57,3,4,39,58,35,56,32,50,8,13,0,0,16,28,2644045,0,0,0,0,0,0.096237171,0.000258821
5587,6037101220,California,CA,Los Angeles,9,3583,3583,2644,1357,1399,2042,0.483951996,0.216497078,2275,0.634942785,1193,0.332961206,264,0.129285015,239,0.176123803,659,0.24924357,132,0.036840636,499,0.139268769,0.194871795,8.751636438,80.06156,0.22080069,30,0.4,428.3256343,236.3214399,724,0.517512509,0.107419514,0.193899697,1.513151708,0,0.000243346,24.19759978,10.82485388,43.0717276,19.26823991,21.29388782,9.525871432,20.32598383,9.092877276,27.58526377,12.34033345,28.06921574,12.5568305,24.68155177,11.04135096,37.26430366,16.67027498,29.03711973,12.98982466,21.7778398,9.742368493,9.679039911,4.329941552,0,0,12.09879989,5.412426941,56,78,49,64,92,85,75,23,51,70,50,89,44,42,57,58,51,77,60,45,20,0,25,59,71,82,91,53,66,65,78,71,82,65,78,58,73,75,86,64,77,52,66,28,37,0,0,35,46,698886,0,0,0,1,3,0.038499445,6.83998E-05
5588,6037101221,California,CA,Los Angeles,9,3723,3686,2630,1450,1556,1730,0.421808481,0.235192659,1653,0.443996777,1473,0.399620184,72,0.041618497,501,0.345517241,619,0.235361217,134,0.035992479,583,0.156594145,0.153846154,8.758051507,80.0202,0.212166825,30,0.4,414.553538,205.1145982,395,0.253856041,0.111106544,0.236479741,0.886912355,0,0.000266727,21.09042403,11.75963294,37.54095478,20.93214663,17.7159562,9.878091678,17.7159562,9.878091678,24.04308342,13.40598156,24.46489188,13.64117421,19.82499859,11.05405496,21.93404099,12.23001825,25.73031732,14.34675218,22.35584947,12.46521091,5.905318729,3.292697222,0,0,10.9670205,6.115009126,45,82,28,74,29,97,73,22,61,24,50,89,42,42,57,58,47,52,61,53,14,0,26,54,73,77,93,45,67,60,82,67,85,59,80,49,73,55,74,59,81,53,75,18,30,0,0,32,50,354178,0,0,0,0,5,0.029098928,3.46643E-05
5589,6037101222,California,CA,Los Angeles,9,2690,2690,1989,935,994,1376,0.528252788,0.276265704,1120,0.416356877,1722,0.640148699,168,0.122093023,270,0.288770053,351,0.176470588,56,0.020817844,386,0.143494424,0.153846154,8.758051507,80.0202,0.212166825,30,0.4,421.3900675,240.696137,318,0.319919517,0.110726072,0.215774716,1.0438531,0,0.000257492,26.41263941,13.81328518,47.01449814,24.58764762,22.1866171,11.60315957,22.1866171,11.60315957,30.11040892,15.74714513,30.63866171,16.02341081,27.46914498,14.36581658,31.1669145,16.29967651,32.22342007,16.85220792,26.41263941,13.81328518,7.923791822,4.143985553,0,0,13.73457249,7.182908292,63,90,25,96,90,95,63,8,54,24,50,89,42,42,57,58,52,59,61,50,15,0,26,62,78,86,96,54,73,69,87,74,89,68,85,63,82,68,85,67,86,59,79,23,36,0,0,39,57,296512,0,0,0,1,7,0.030206586,2.90196E-05
5590,6037101300,California,CA,Los Angeles,9,4068,4026,3277,1420,1517,1967,0.205482029,0.113868979,1013,0.249016716,652,0.161947342,137,0.069649212,119,0.083802817,244,0.074458346,126,0.030973451,1093,0.268682399,0.179487179,8.771796438,80.09128,0.221821034,30,0.4,473.8626394,278.0967711,850,0.560316414,0.108234785,0.159171948,1.742829959,0,0.000234937,10.47958348,5.807317946,18.28790059,10.13433916,9.041209276,5.010235076,8.630245218,4.782497118,11.71247565,6.490531803,12.32892174,6.832138761,11.71247566,6.490531822,16.43856232,9.109518347,12.32892174,6.832138761,7.397353046,4.099283256,4.726086668,2.618986525,0,0,5.137050726,2.846724484,9,38,8,29,61,61,35,16,92,54,51,89,44,42,57,60,57,80,60,36,23,0,25,30,49,47,68,27,42,44,57,55,65,34,55,32,51,45,63,36,55,23,36,15,24,0,0,15,25,2580478,0,0,1,0,0,0.085837038,0.000252542
5591,6037101400,California,CA,Los Angeles,9,3372,3356,2421,1304,1543,1704,0.353462293,0.161126233,1172,0.347568209,1206,0.359356377,125,0.073356808,153,0.117331288,219,0.090458488,240,0.071174377,658,0.195136418,0.165128205,8.887764658,79.3651,0.22656088,30,0.4,458.5576358,201.5382381,769,0.49837978,0.118074752,0.218395024,1.373333433,0,0.00027918,18.73350151,8.539690358,31.10468176,14.17910852,16.25926548,7.411806718,14.84541631,6.767301786,20.1473507,9.184195281,20.85427527,9.506447757,16.25926546,7.411806726,26.50967195,12.08446749,22.62158673,10.31207892,17.67311464,8.056311659,6.715783561,3.06139843,0,0,9.19001961,4.189282062,34,59,18,68,64,73,42,71,77,37,53,88,46,42,57,59,46,75,64,50,19,0,26,50,63,68,80,42,57,54,68,64,74,53,68,42,56,62,74,55,69,45,59,20,28,0,0,27,37,6310056,0,0,0,0,1,0.133831492,0.000617501
5592,6037102103,California,CA,Los Angeles,9,1767,1767,1224,669,781,816,0.275042445,0.13977444,392,0.221844935,580,0.328239955,44,0.053921569,80,0.119581465,58,0.047385621,178,0.10073571,224,0.126768534,0.14974359,9.107297534,76.96263,0.255182207,30,0.4,499.8389983,867.7336523,472,0.604353393,0.254289684,0.967135054,8.470085266,0,0.010357113,16.50254669,8.386466387,23.10356537,11.74105294,14.57724959,7.40804532,11.55178269,5.87052648,15.67741937,7.96714308,16.77758913,8.526240826,22.82852292,11.6012785,23.10356537,11.74105294,23.9286927,12.16037626,22.82852292,11.6012785,20.35314092,10.34330854,0,0,13.4770798,6.848947549,20,51,6,63,44,73,23,92,44,21,60,84,53,42,57,61,83,84,87,83,74,0,49,46,62,55,73,39,57,48,63,60,70,43,64,55,75,57,72,57,75,54,72,50,71,0,0,38,55,1186484,0,0,0,0,0,0.051639811,0.000116085
5593,6037102104,California,CA,Los Angeles,9,4003,3770,2797,1310,1373,1920,0.283611661,0.110060395,1367,0.34149388,851,0.225729443,146,0.076041667,52,0.039694656,237,0.084733643,208,0.051961029,755,0.188608544,0.124102564,9.209783288,76.3799,0.255002554,30,0.4,580.2933151,796.5601651,339,0.246904588,0.360482027,0.685511939,6.715590694,0,0.005342893,17.30031134,6.713684076,23.53976789,9.135012759,15.03141803,5.833200935,11.91168976,4.62253659,16.16586468,6.273442515,17.86753466,6.933804865,22.97254456,8.914891969,14.46419473,5.613080129,25.80866118,10.01549592,21.83809792,8.474650391,18.71836964,7.263986049,0,0,12.76252476,4.952717761,21,35,18,44,67,37,40,45,74,6,61,83,53,42,57,63,81,51,91,77,66,0,45,47,54,56,63,40,48,49,56,61,64,46,55,55,64,40,45,59,68,52,61,47,56,0,0,36,42,1658552,0,0,0,0,0,0.083584928,0.000162255
5594,6037102105,California,CA,Los Angeles,9,1674,1674,1242,554,571,951,0.522998805,0.161905146,1274,0.761051374,477,0.284946237,36,0.03785489,58,0.104693141,235,0.18921095,164,0.097968937,198,0.11827957,0.192820513,9.274286849,75.78837,0.269288881,40,0.5,504.2683321,3014.433354,369,0.646234676,0.453966784,0.609072815,8.331155153,0,0.007469942,32.42592593,10.03811905,42.88590203,13.27622197,29.28793308,9.066688176,47.59289125,14.73336829,45.50089603,14.0857477,31.90292712,9.876213904,50.73088411,15.70479916,45.50089606,14.0857477,48.63888889,15.05717858,38.70191159,11.9809808,38.17891278,11.81907566,0,0,24.58094385,7.609541861,62,60,62,55,25,69,66,91,39,68,62,82,56,91,87,61,97,87,93,74,73,0,47,69,68,82,78,65,64,93,92,90,86,70,69,89,86,84,80,86,83,75,74,77,76,0,0,60,60,492761,0,0,0,6,5,0.030157141,4.82029E-05
