﻿TreeNumber,Species,City,Longitude,Latitude,Tract
2018092201,Platanus racemosa,Long Beach,-118.129321,33.811131,6037574100
2018092210,Lophostemon confertus,Long Beach,-118.128001,33.811555,6037574100
2018092212,Lophostemon confertus,Long Beach,-118.127001,33.811555,6037574100
2018092213,Lophostemon confertus,Long Beach,-118.127001,33.811555,6037574100
2018092217,Lophostemon confertus,Long Beach,-118.127001,33.811555,6037574100
2018092224,Lophostemon confertus,Long Beach,-118.128001,33.811472,6037574100
2018092228,Pinus canariensis,Long Beach,-118.126001,33.812694,6037574100
2018092229,Pinus canariensis,Long Beach,-118.126001,33.812805,6037574100
2018092231,Pinus canariensis,Long Beach,-118.126001,33.812707,6037574100
2018092237,Lagerstroemia indica,Long Beach,-118.126001,33.814472,6037574100
2018092239,Lagerstroemia indica,Long Beach,-118.126001,33.814472,6037574100
2018092241,Lagerstroemia indica,Long Beach,-118.126001,33.814331,6037574100
2018092248,Ulmus parvifolia,Long Beach,-118.128001,33.814472,6037574100
2018092251,Ulmas parvifolia,Long Beach,-118.128001,33.813277,6037574100
2018092253,Ulmus parvifolia,Long Beach,-118.128001,33.814586,6037574100
2018092254,Ulmus parvifolia,Long Beach,-118.127001,33.812027,6037574100
2018092260,Ulmus parvifolia,Long Beach,-118.126001,33.814584,6037574100
2018092264,Ulmus parvifolia,Long Beach,-118.126001,33.812638,6037574100
2018092267,Celtis sinensis,Long Beach,-118.129001,33.812833,6037574100
2018092268,Celtis sinensis,Long Beach,-118.129001,33.813811,6037574100
2018092269,Celtis sinensis,Long Beach,-118.129001,33.814055,6037574100
2018092270,Celtis sinensis,Long Beach,-118.129001,33.813888,6037574100
2018092277,Jacaranda mimosifolia,Long Beach,-118.127001,33.813207,6037574100
2018092288,Langerstroemia Indica,Long Beach,-118.127001,33.812194,6037574100
2018092290,Langerstroemia Indica,Long Beach,-118.127001,33.812444,6037574100
2018092292,Langerstroemia Indica,Long Beach,-118.126001,33.812722,6037574100
2018092296,Langerstroemia Indica,Long Beach,-118.127001,33.813194,6037574100
2018092297,Langerstroemia Indica,Long Beach,-118.127001,33.811546,6037574100
20180922101,Ulmus parvifolia,Long Beach,-118.129001,33.811416,6037574100
20180922103,Ulmus parvifolia,Long Beach,-118.127001,33.811416,6037574100
20180922110,Lophostemon confertus,Long Beach,-118.127001,33.813138,6037574100
20180922111,Lophostemon confertus,Long Beach,-118.127001,33.813138,6037574100
20180922113,Lophostemon confertus,Long Beach,-118.128001,33.813138,6037574100
20180922115,Lophostemon confertus,Long Beach,-118.128001,33.813111,6037574100
20180922118,Lophostemon confertus,Long Beach,-118.129001,33.811551,6037574100
20180922122,Ulmus parvifolia,Long Beach,-118.128001,33.810777,6037574100
20180922127,Ulmus parvifolia,Long Beach,-118.127001,33.810771,6037574100
2018102002,Tabebuia avellanedae,Long Beach,-118.171917,33.779889,6037576403
2018102004,Tabebuia avellanedae,Long Beach,-118.171917,33.781722,6037576403
2018102008,Lophostemon confertus,Long Beach,-118.170861,33.779751,6037576403
2018102009,Lophostemon confertus,Long Beach,-118.170861,33.780139,6037576403
2018102012,Lophostemon confertus,Long Beach,-118.170972,33.780501,6037576403
2018102015,Tabebuia avellanedae,Long Beach,-118.169778,33.781083,6037576403
2018102016,Pittosporum undulatum,Long Beach,-118.169889,33.781389,6037576403
2018102017,Pittosporum undulatum,Long Beach,-118.169917,33.781501,6037576403
2018102020,Langerstroemia Indica,Long Beach,-118.167611,33.779639,6037576403
2018102021,Langerstroemia Indica,Long Beach,-118.167639,33.779833,6037576403
2018102024,Langerstroemia Indica,Long Beach,-118.167722,33.780111,6037576403
2018102025,Langerstroemia Indica,Long Beach,-118.167583,33.780056,6037576403
2018102033,Langerstroemia Indica,Long Beach,-118.167611,33.781722,6037576403
2018102034,Tabebuia avellanedae,Long Beach,-118.175778,33.780722,6037576403
2018102038,Tabebuia avellanedae,Long Beach,-118.172528,33.780861,6037576403
2018102039,Tabebuia avellanedae,Long Beach,-118.171333,33.780778,6037576403
2018102040,Tabebuia avellanedae,Long Beach,-118.171251,33.780751,6037576403
2018102043,Tabebuia avellanedae,Long Beach,-118.170694,33.780722,6037576403
2018102044,Tabebuia avellanedae,Long Beach,-118.170417,33.780861,6037576403
2018102047,Tabebuia avellanedae,Long Beach,-118.169444,33.780833,6037576403
2018102054,Tabebuia avellanedae,Long Beach,-118.176417,33.780251,6037576403
2018102058,Podocarpus macrophyllus,Long Beach,-118.174972,33.781583,6037576403
2018102064,Podocarpus macrophyllus,Long Beach,-118.174861,33.782389,6037576403
2018102065,Podocarpus macrophyllus,Long Beach,-118.174833,33.782444,6037576403
2018102066,Langerstroemia Indica,Long Beach,-118.173556,33.779361,6037576403
2018102068,Langerstroemia Indica,Long Beach,-118.173694,33.779528,6037576403
2018102069,Langerstroemia Indica,Long Beach,-118.173694,33.779556,6037576403
2018102071,Langerstroemia Indica,Long Beach,-118.173694,33.779944,6037576403
2018102072,Langerstroemia Indica,Long Beach,-118.173694,33.780083,6037576403
2018102079,Langerstroemia Indica,Long Beach,-118.173694,33.781389,6037576403
2018102082,Langerstroemia Indica,Long Beach,-118.173583,33.781472,6037576403
2018111708,Geijera parviflora,Long Beach,-118.050222,33.800694,6037572700
2018111712,Ulmus parvifolia,Long Beach,-118.216306,33.800806,6037572700
2018111713,Ulmus parvifolia,Long Beach,-118.217222,33.800806,6037572700
2018111715,Ulmus parvifolia,Long Beach,-118.217528,33.800833,6037572700
2018111718,Ulmus parvifolia,Long Beach,-118.217694,33.797028,6037572700
2018111720,Ulmus parvifolia,Long Beach,-118.217694,33.797639,6037572700
2018111721,Ulmus parvifolia,Long Beach,-118.217694,33.797667,6037572700
2018111725,Ulmus parvifolia,Long Beach,-118.217556,33.797833,6037572700
2018111728,Ulmus parvifolia,Long Beach,-118.217556,33.797972,6037572700
2018111729,Ulmus parvifolia,Long Beach,-118.217556,33.798528,6037572700
2018111731,Ulmus parvifolia,Long Beach,-118.217556,33.798667,6037572700
2018111738,Ulmus parvifolia,Long Beach,-118.217694,33.803139,6037572700
2018111739,Ulmus parvifolia,Long Beach,-118.217556,33.803278,6037572700
2018111741,Ulmus parvifolia,Long Beach,-118.217694,33.803511,6037572700
2018111742,Ulmus parvifolia,Long Beach,-118.217556,33.803583,6037572700
2018111744,Ulmus parvifolia,Long Beach,-118.217556,33.803556,6037572700
2018111746,Langerstroemia Indica,Long Beach,-118.218833,33.803917,6037572700
2018111748,Langerstroemia Indica,Long Beach,-118.218611,33.801056,6037572700
